text,label,source,text_length,cleaned_text,processed_text,word_count
Scientists discovered a new species of frog in the Amazon rainforest that has unique singing patterns.,1,Reuters,102,scientists discovered a new species of frog in the amazon rainforest that has unique singing patterns,scientists discovered new species frog amazon rainforest has unique singing patterns,16
The global economy shows signs of recovery with stock markets reaching new highs this quarter.,1,BBC,94,the global economy shows signs of recovery with stock markets reaching new highs this quarter,global economy shows signs recovery stock markets reaching new highs quarter,15
NASA successfully launched a new satellite designed to monitor climate change effects worldwide.,1,NASA,96,nasa successfully launched a new satellite designed to monitor climate change effects worldwide,nasa successfully launched new satellite designed monitor climate change effects worldwide,13
Medical researchers have developed a new vaccine that shows 95% effectiveness in clinical trials.,1,WHO,97,medical researchers have developed a new vaccine that shows effectiveness in clinical trials,medical researchers have developed new vaccine shows effectiveness clinical trials,13
Renewable energy sources now account for over 30% of electricity production in European countries.,1,Bloomberg,98,renewable energy sources now account for over of electricity production in european countries,renewable energy sources now account over electricity production european countries,13
Education ministry announces new digital learning initiatives to improve remote education access.,1,Education Times,97,education ministry announces new digital learning initiatives to improve remote education access,education ministry announces new digital learning initiatives improve remote education access,12
Archaeologists uncover ancient city dating back 3000 years in Mediterranean region.,1,Archaeology Daily,83,archaeologists uncover ancient city dating back years in mediterranean region,archaeologists uncover ancient city dating back years mediterranean region,10
New study shows regular exercise reduces risk of chronic diseases by up to 40%.,1,Health Journal,79,new study shows regular exercise reduces risk of chronic diseases by up to,new study shows regular exercise reduces risk chronic diseases,13
BREAKING: Aliens have been spotted in Area 51 according to government insider sources!,0,Reuters,86,breaking aliens have been spotted in area according to government insider sources,breaking aliens have been spotted area according government insider sources,12
"SHOCKING: Drinking bleach cures COVID-19, anonymous doctor reveals secret treatment.",0,BBC,84,shocking drinking bleach cures covid anonymous doctor reveals secret treatment,shocking drinking bleach cures covid anonymous doctor reveals secret treatment,10
"5G towers are causing coronavirus outbreaks worldwide, confirmed by whistleblower.",0,NASA,82,g towers are causing coronavirus outbreaks worldwide confirmed by whistleblower,towers are causing coronavirus outbreaks worldwide confirmed whistleblower,10
"Moon landing was completely fake and filmed in a Hollywood studio, new evidence shows.",0,WHO,86,moon landing was completely fake and filmed in a hollywood studio new evidence shows,moon landing was completely fake filmed hollywood studio new evidence shows,14
Vaccines contain microchips that allow government to track your movements.,0,Bloomberg,74,vaccines contain microchips that allow government to track your movements,vaccines contain microchips allow government track your movements,10
"Eating bananas daily prevents all forms of cancer, doctors are hiding this truth.",0,Education Times,81,eating bananas daily prevents all forms of cancer doctors are hiding this truth,eating bananas daily prevents all forms cancer doctors are hiding truth,13
Earth is actually flat and NASA has been lying to us for decades.,0,Archaeology Daily,65,earth is actually flat and nasa has been lying to us for decades,earth actually flat nasa has been lying decades,13
You can lose 10kg in 3 days with this simple trick that doctors don't want you to know.,0,Health Journal,87,you can lose kg in days with this simple trick that doctors dont want you to know,you can lose days simple trick doctors dont want you know,17
